"region";"mun_obr";"oktmo";"year";"F1ST";"F1SIS";"F1SIGAL";"F1SSD";"F1SCM";"F1SNO";"F1SH";"F1SVOCS";"F1SOGAL";"F5SFS";"F5SFSD";"F5SFCM";"F5SFNO";"F5SFH";"F5STS";"F5STSD";"F5STCM";"F5STNO";"F5STH";"F1BTWC";"F1BSWC";"F1BGALWC";"F1BSDWC";"F1BCMWC";"F1BNO2WC";"F1BHWC";"F1BVOCSWC";"F1BOGALWC";"F1BTWCO";"F1BSWCO";"F1BGALWCO";"F1BSDWCO";"F1BCMWCO";"F1BNO2WCO";"F1BHWCO";"F1BVOCSWCO";"F1BOGALWCO";"F1BTTF";"F1BSTF";"F1BGALTF";"F1BSDTF";"F1BCMTF";"F1BNO2TF";"F1BHTF";"F1BVOCSTF";"F1BOGALTF";"F1BTTFC";"F1BSTFC";"F1BGALTFC";"F1BSDTFC";"F1BCMTFC";"F1BNO2TFC";"F1BHTFC";"F1BVOCSTFC";"F1BOGALTFC";"F1BTTFU";"F1BSTFU";"F1BGALTFU";"F1BSDTFU";"F1BCMTFU";"F1BNO2TFU";"F1BHTFU";"F1BVOCSTFU";"F1BOGALTFU";"F1BTE";"F1BSE";"F1BGALE";"F1BSDE";"F1BCME";"F1BNO2E";"F1BHE";"F1BVOCSE";"F1BOGALE"
Республика Мордовия;Саранск;"89701000";2020;11170.99294;1097.8795441;10073.11289571;127.8627348;2585.052514;1411.24370381;4595.6299543;1259.9970949;93.3268939;120.96456222;21.985914;1888.30946;1231.831868;2.63452;974.7069521;105.9678208;696.743051;179.41183581;1278.4482422;10815.24694;742.6729095;10072.57410171;127.8627348;2585.0495613;1411.23670381;4595.6180203;1259.4860455;93.321036;5532.727469;656.8760293;4875.8519741;117.9179678;2514.2023773;1361.4571532;54.9719203;805.5723495;21.730206;7010.947;7007.684773;3.2622076;0.0;0.0134909;0.108;0.079009;3.0338521;0.0278556;6655.201;6652.4781384;2.7234136;0.0;0.0105382;0.101;0.067075;2.5228027;0.0219977;5533.581;5533.4580079;0.1234824;0.0;0.0094621;0.0;0.059616;0.0356405;0.0187638;11170.99294;1097.8795441;10073.11289571;127.8627348;2585.052514;1411.24370381;4595.6299543;1259.9970949;93.3268939
Республика Мордовия;Старошайговский муниципальный район;"89646000";2019;248.153;4.198;243.955;0.155;4.947;2.281;199.379;10.32;26.873;0.0;0.002;1.95;0.726;0.003;4.198;0.153;2.997;1.555;10.317;248.153;4.198;243.955;0.155;4.947;2.281;199.379;10.32;26.873;33.742;2.868;30.874;0.03;3.809;1.93;18.333;3.017;3.755;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;248.153;4.198;243.955;0.155;4.947;2.281;199.379;10.32;26.873
Республика Мордовия;Старошайговский муниципальный район;"89646000";2020;245.123;4.191;240.932;0.155;5.0;2.256;198.841;7.966;26.714;0.0;0.001;3.667;1.871;0.003;4.191;0.154;1.333;0.385;7.968;245.123;4.191;240.932;0.155;5.0;2.256;198.841;7.966;26.714;31.565;2.868;28.697;0.029;3.82;1.892;18.338;0.857;3.761;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;245.123;4.191;240.932;0.155;5.0;2.256;198.841;7.966;26.714
Республика Мордовия;Темниковский муниципальный район;"89649000";2019;34.857;4.536;30.321;1.614;16.002;8.039;0.499;4.143;0.024;0.001;0.049;15.945;7.987;0.026;4.535;1.565;0.057;0.052;4.118;30.769;0.448;30.321;1.614;16.002;8.039;0.499;4.143;0.024;28.907;0.426;28.481;1.61;15.849;7.997;0.082;2.93;0.013;4.203;4.203;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.115;0.115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.857;4.536;30.321;1.614;16.002;8.039;0.499;4.143;0.024
Республика Мордовия;Темниковский муниципальный район;"89649000";2020;39.317;4.653;34.664;1.614;16.042;8.051;6.065;2.043;0.849;0.001;0.049;15.957;7.97;0.026;4.652;1.565;0.085;0.081;2.027;39.317;4.653;34.664;1.614;16.042;8.051;6.065;2.043;0.849;31.422;0.563;30.859;1.61;15.862;7.976;3.99;0.583;0.838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.317;4.653;34.664;1.614;16.042;8.051;6.065;2.043;0.849
Республика Мордовия;Теньгушевский муниципальный район;"89651000";2019;485.922;9.624;476.298;1.815;122.416;256.423;88.549;6.252;0.843;8.876;1.782;25.686;15.33;0.008;0.748;0.033;96.73;241.093;6.248;485.922;9.624;476.298;1.815;122.416;256.423;88.549;6.252;0.843;447.109;9.367;437.742;1.764;100.166;243.838;87.412;4.328;0.234;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;485.922;9.624;476.298;1.815;122.416;256.423;88.549;6.252;0.843
Республика Мордовия;Теньгушевский муниципальный район;"89651000";2020;461.786;9.52916;452.25696;1.767;118.2797;241.8286;80.679;8.84116;0.8615;8.90016;1.754;41.0867;24.2836;0.007;0.629;0.013;77.193;217.545;8.84316;461.786;9.52916;452.25696;1.767;118.2797;241.8286;80.679;8.84116;0.8615;446.379;9.303056;437.07601;1.759;117.63;241.7186;71.938;3.8398;0.19061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;461.786;9.52916;452.25696;1.767;118.2797;241.8286;80.679;8.84116;0.8615
Республика Мордовия;Торбеевский муниципальный район;"89654000";2019;17703.694;21.414;17682.28;0.753;978.063;1675.328;14332.796;686.672;8.668;0.181;0.515;100.613;50.705;0.012;21.233;0.238;877.45;1624.623;686.665;17689.757;7.477;17682.28;0.753;978.063;1675.328;14332.796;686.672;8.668;17656.37;1.546;17654.824;0.559;972.39;1672.083;14324.961;677.332;7.499;12424.47;12424.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12410.533;12410.533;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12410.533;12410.533;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17703.694;21.414;17682.28;0.753;978.063;1675.328;14332.796;686.672;8.668
Республика Мордовия;Торбеевский муниципальный район;"89654000";2020;17561.004;17.6221;17543.3823;0.7477;599.5259;1488.8008;14746.8679;699.2455;8.1945;0.184;0.5146;99.4701;49.9646;0.7774;17.4381;0.2331;500.0558;1438.8359;698.4881;17549.827;6.4447;17543.3823;0.7477;599.5259;1488.8008;14746.8679;699.2455;8.1945;17518.107;1.4767;17516.63;0.5591;594.5003;1485.959;14739.182;689.3706;7.059;12403.634;12403.6339;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12392.457;12392.4565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12392.457;12392.4565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17561.004;17.6221;17543.3823;0.7477;599.5259;1488.8008;14746.8679;699.2455;8.1945
Республика Мордовия;Чамзинский муниципальный район;"89657000";2019;6546.548;814.088;5732.46;13.423;603.09;3798.063;1054.703;164.672;98.509;1.259;0.064;407.661;243.888;0.219;812.829;13.358;195.173;3554.119;165.561;5911.892;179.432;5732.46;13.423;603.09;3798.063;1054.703;164.672;98.509;4817.794;113.832;4703.962;11.969;561.85;3782.148;229.811;54.395;63.789;301599.215;301599.215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300964.559;300964.559;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300941.505;300941.505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6546.548;814.088;5732.46;13.423;603.09;3798.063;1054.703;164.672;98.509
